Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(FTM),Value_OUT(FTM),CurrentValue @ $2.799/FTM,TxnFee(FTM),TxnFee(USD),Historical $Price/FTM,Status,ErrCode,Method
0xb2a4a570f60c76ed395f7964c22613248bce953d8256e9544283bad0c020aee2,8306835,1622414369,30-05-21 22:39,0x12164b332d01cc694e752d7039ee21d56fe7705d,,0xa7b16703470055881e7ee093e9b0bf537f29cd4d,0,0,0,0.11863785,0.332067342,0.29,,,0x60006004
0xb2b0439082525d53c4b5a521148a725336521549ec0f832d569f86d9b21ff9f8,8310066,1622416592,30-05-21 23:16,0x12164b332d01cc694e752d7039ee21d56fe7705d,0xa7b16703470055881e7ee093e9b0bf537f29cd4d,,0,0,0,0.0404401,0.11319184,0.29,,,Add
0x84f3f889df174120a98f19c2cb6dcee90045e184033ce409ec7ee8e1e6bb8606,8661522,1622663832,02-06-21 19:57,0x5f0165ae73441e0ef9a43ea6a8bb4245c234b7cb,0xa7b16703470055881e7ee093e9b0bf537f29cd4d,,0,0,0,0.006846201,0.019162517,0.35,,,Deposit
0x203ee3c28f0d05b3199d49704aaf7e3a767abc12eadd4f2eeb406e7c2d309921,8665100,1622666400,02-06-21 20:40,0x5f0165ae73441e0ef9a43ea6a8bb4245c234b7cb,0xa7b16703470055881e7ee093e9b0bf537f29cd4d,,0,0,0,0.00227529,0.006368537,0.35,,,Withdraw
0x9b96c9a8a6935d210cda842c8d67d29c442ebbc58d3a0a884f11076a5394a1dd,12675835,1626960155,22-07-21 13:22,0x12164b332d01cc694e752d7039ee21d56fe7705d,0xa7b16703470055881e7ee093e9b0bf537f29cd4d,,0,0,0,0.0028158,0.007881424,0.19,,,Governance Recover Unsupported
