"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(FTM)","Value_OUT(FTM)","CurrentValue @ $2.584/FTM","TxnFee(FTM)","TxnFee(USD)","Historical $Price/FTM","Status","ErrCode","Method"
"0x403d89439dabc17c623572f63005f69da4cb75d67d59e4d255406c13d1869932","9022685","1622976643","2021-06-06 10:50:43","0xe699e8334d901986d9ff6bc5ae4b44ae5122f1ee","0xcc0a87f7e7c693042a9cc703661f5060c80acb43","","0","0","0","0.0163364","0.0422132576","0.34","","","Deposit",""
"0xd72aa1bfc39e791044a2e315549b60388f355293880dcfdb5dc5eb92594f816b","9022752","1622976713","2021-06-06 10:51:53","0xe699e8334d901986d9ff6bc5ae4b44ae5122f1ee","0xcc0a87f7e7c693042a9cc703661f5060c80acb43","","0","0","0","0.0163364","0.0422132576","0.34","","","Deposit",""
"0x0e69816ca31c63744e75ee01ee562a682e301cd11c37a2a2be32108283bf8503","9022820","1622976784","2021-06-06 10:53:04","0xe699e8334d901986d9ff6bc5ae4b44ae5122f1ee","0xcc0a87f7e7c693042a9cc703661f5060c80acb43","","0","0","0","0.0163364","0.0422132576","0.34","","","Deposit",""
"0x7457cb265169f927651d6f075a581e7bec3adebc3c133489250cb5b7a7d897cf","9022866","1622976854","2021-06-06 10:54:14","0xe699e8334d901986d9ff6bc5ae4b44ae5122f1ee","0xcc0a87f7e7c693042a9cc703661f5060c80acb43","","0","0","0","0.0163364","0.0422132576","0.34","","","Deposit",""
"0x71c9439e5c3435a1b4055215318802a7bd7ddfa246ea558ec0b1226047dd6149","9022939","1622976924","2021-06-06 10:55:24","0xe699e8334d901986d9ff6bc5ae4b44ae5122f1ee","0xcc0a87f7e7c693042a9cc703661f5060c80acb43","","0","0","0","0.0163364","0.0422132576","0.34","","","Deposit",""
"0x6dc9ffb3153ed7fa111f7ce281155984add2748705681a942c3c92f07c8d4b78","9022998","1622976995","2021-06-06 10:56:35","0xe699e8334d901986d9ff6bc5ae4b44ae5122f1ee","0xcc0a87f7e7c693042a9cc703661f5060c80acb43","","0","0","0","0.0163364","0.0422132576","0.34","","","Deposit",""
"0xc20ceabc4aeb055ff8a76ebda6fa6b3c8d41404f7833b4e682b435f13711b573","9023053","1622977066","2021-06-06 10:57:46","0xe699e8334d901986d9ff6bc5ae4b44ae5122f1ee","0xcc0a87f7e7c693042a9cc703661f5060c80acb43","","0","0","0","0.0163364","0.0422132576","0.34","","","Deposit",""
"0x765a5426089c815f2701ba1965c1ef76555efbefd42830962e4aadf3644d1a8c","9023114","1622977136","2021-06-06 10:58:56","0xe699e8334d901986d9ff6bc5ae4b44ae5122f1ee","0xcc0a87f7e7c693042a9cc703661f5060c80acb43","","0","0","0","0.0163364","0.0422132576","0.34","","","Deposit",""
"0x819c68aed3ebb52a22de0daca68039453c6d61a01445a873c33ca47d88482b9b","9023180","1622977206","2021-06-06 11:00:06","0xe699e8334d901986d9ff6bc5ae4b44ae5122f1ee","0xcc0a87f7e7c693042a9cc703661f5060c80acb43","","0","0","0","0.0163364","0.0422132576","0.34","","","Deposit",""
"0xc28b0de574572d802ac473aceaf2959f0da9dd2d0609fba01e6d9106f6d2d33d","9023238","1622977276","2021-06-06 11:01:16","0xe699e8334d901986d9ff6bc5ae4b44ae5122f1ee","0xcc0a87f7e7c693042a9cc703661f5060c80acb43","","0","0","0","0.0163364","0.0422132576","0.34","","","Deposit",""
