,Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(FTM),Value_OUT(FTM),CurrentValue @ $3.003/FTM,TxnFee(FTM),TxnFee(USD),Historical $Price/FTM,Status,ErrCode,Method,vlorandup,Relevant,Arguments used by tomb dev,Contract,Method,Our Arguments,Notes,
https://ftmscan.com/tx/0x01acda810b58f60aa9913033d9937a706d5c7299127d2d8e250326c392451723,0x01acda810b58f60aa9913033d9937a706d5c7299127d2d8e250326c392451723,8306893,1622414418,30-05-21 22:40,0x12164b332d01cc694e752d7039ee21d56fe7705d,0x6c021ae822bea943b2e66552bde1d2696a53fbb7,,0,0,0,0.03848025,0.115556191,0.29,,,Distribute Reward,https://ftmscan.com/tx/0x01acda810b58f60aa9913033d9937a706d5c7299127d2d8e250326c392451723,Yes,"address _genesisPool, address _TombFtmRewardPool, address _airdropWallet",tomb: ,Distribute Reward,,,
https://ftmscan.com/tx/0xf79615ef36ba2bab1683e06cceb97952aa7f015c0209dc63733601cb20a3a5b0,0xf79615ef36ba2bab1683e06cceb97952aa7f015c0209dc63733601cb20a3a5b0,8306901,1622414426,30-05-21 22:40,0x12164b332d01cc694e752d7039ee21d56fe7705d,0xd1f5f1ab6ead80b3bf81268566a085be9186bb59,,0,0,0,0.0348363,0.104613409,0.29,,,Set Completed,#N/A,_,completed = 5,,,,,
https://ftmscan.com/tx/0x888baae0940576334819bba0e1b1eaa7cb8f76fc39c6fc7874cee339c09ec5f5,0x888baae0940576334819bba0e1b1eaa7cb8f76fc39c6fc7874cee339c09ec5f5,8306908,1622414431,30-05-21 22:40,0x12164b332d01cc694e752d7039ee21d56fe7705d,,0xcc0a87f7e7c693042a9cc703661f5060c80acb43,0,0,0,0.11272745,0.338520532,0.29,,,0x60806040,https://ftmscan.com/tx/0x888baae0940576334819bba0e1b1eaa7cb8f76fc39c6fc7874cee339c09ec5f5,Yes,"tshare address, starttime 1623069000***",TshareFtmLPTShareRewardPool: ,Create Contract,,,
https://ftmscan.com/tx/0x6f76575379cd914a1ea3a50ded0c34a89641f672926f27c243b6464db5917af3,0x6f76575379cd914a1ea3a50ded0c34a89641f672926f27c243b6464db5917af3,8306926,1622414442,30-05-21 22:40,0x12164b332d01cc694e752d7039ee21d56fe7705d,0x4cdf39285d7ca8eb3f090fda0c069ba5f4145b37,,0,0,0,0.03689915,0.110808147,0.29,,,Distribute Reward,https://ftmscan.com/tx/0x6f76575379cd914a1ea3a50ded0c34a89641f672926f27c243b6464db5917af3,Yes,tshare reward pool address (created at row 11),tShare: ,Distribute Reward,,,
https://ftmscan.com/tx/0x7a07641c0c544496f87e13b4d892c78440c5a0e60a127e29399141c07ad83355,0x7a07641c0c544496f87e13b4d892c78440c5a0e60a127e29399141c07ad83355,8306944,1622414454,30-05-21 22:40,0x12164b332d01cc694e752d7039ee21d56fe7705d,0xd1f5f1ab6ead80b3bf81268566a085be9186bb59,,0,0,0,0.0348363,0.104613409,0.29,,,Set Completed,#N/A,_,,,,,,
https://ftmscan.com/tx/0xbf76658f30c6f8ae6d57dda5d8c3799fd8b8260240f2ce44d132a2d357848cf6,0xbf76658f30c6f8ae6d57dda5d8c3799fd8b8260240f2ce44d132a2d357848cf6,8307380,1622414793,30-05-21 22:46,0x12164b332d01cc694e752d7039ee21d56fe7705d,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,,0,0,0,0.03563335,0.10700695,0.29,,,Approve,#N/A,_,,,,,,
https://ftmscan.com/tx/0xeb95d22b2503c15eae7f80d509d3a5bec1465e6ceeb6c7b8fc36a5fbc8caf811,0xeb95d22b2503c15eae7f80d509d3a5bec1465e6ceeb6c7b8fc36a5fbc8caf811,8307388,1622414805,30-05-21 22:46,0x12164b332d01cc694e752d7039ee21d56fe7705d,0x6c021ae822bea943b2e66552bde1d2696a53fbb7,,0,0,0,0.0355951,0.106892085,0.29,,,Approve,https://ftmscan.com/tx/0xeb95d22b2503c15eae7f80d509d3a5bec1465e6ceeb6c7b8fc36a5fbc8caf811,Yes,"spookyswap router address, ammount (99999*10**18)",tomb: ,Approve,,,
https://ftmscan.com/tx/0x7750cbce0b467898790030ea1b59d36c3dd73ca8507a67fc68f8265954634dab,0x7750cbce0b467898790030ea1b59d36c3dd73ca8507a67fc68f8265954634dab,8307423,1622414830,30-05-21 22:47,0x12164b332d01cc694e752d7039ee21d56fe7705d,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,,0,0,0,0.03476935,0.104412358,0.29,,,Approve,#N/A,_,,,,,,
https://ftmscan.com/tx/0xcf868c7365888d662c7eae0db4d053c1d516e5c29efb8001e248967b8859c909,0xcf868c7365888d662c7eae0db4d053c1d516e5c29efb8001e248967b8859c909,8307428,1622414833,30-05-21 22:47,0x12164b332d01cc694e752d7039ee21d56fe7705d,0x6c021ae822bea943b2e66552bde1d2696a53fbb7,,0,0,0,0.0347311,0.104297493,0.29,,,Approve,https://ftmscan.com/tx/0xcf868c7365888d662c7eae0db4d053c1d516e5c29efb8001e248967b8859c909,Yes,"spookyswap router address, ammount (99999*10**18)",tomb: ,Approve,,,
https://ftmscan.com/tx/0x3a1319a1b762102fa08c62a19440610f720557d103942cadfc55a199bb12eebd,0x3a1319a1b762102fa08c62a19440610f720557d103942cadfc55a199bb12eebd,8307647,1622414984,30-05-21 22:49,0x12164b332d01cc694e752d7039ee21d56fe7705d,0xf491e7b69e4244ad4002bc14e878a34207e38c29,,0,0.1,0.3003,0.17854254,0.536163248,0.29,,,Add Liquidity ETH,#N/A,_,,,,,,
